PONOT2016121378210VARKAUS                       VARKAUS                       VRK                     198811011FI132Pohjois-Savo                  Norra Savolax                 915Varkaus             Varkaus             1
PONOT2016121379190VALKEAMÄKI                    VALKEAMÄKI                                            198601011FI132Pohjois-Savo                  Norra Savolax                 420Leppävirta          Leppävirta          1
PONOT2016121382840PIRTTIAHO                     PIRTTIAHO                                             198601011FI133Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2016121386980VÄLIAHO                       VÄLIAHO                                               198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             626Pyhäjärvi           Pyhäjärvi           1
PONOT2016121391210JAKKUKYLÄ                     JAKKUKYLÄ                                             199612311FI1A2Pohjois-Pohjanmaa             Norra Österbotten             564Oulu                Uleåborg            1
PONOT2016121301300VANTAA                        VANDA                                                 199704181FI181Uusimaa                       Nyland                        092Vantaa              Vanda               2
PONOT2016121303790VIHTIJÄRVI                    VIHTIJÄRVI                                            198804051FI181Uusimaa                       Nyland                        927Vihti               Vichtis             1
PONOT2016121313210HÄMEENLINNA                   HÄMEENLINNA                   HML                     198810011FI184Kanta-Häme                    Egentliga Tavastland          109Hämeenlinna         Tavastehus          1
PONOT2016121325560KOSKI AS                      KOSKI AS                                              200512161FI183Varsinais-Suomi               Egentliga Finland             734Salo                Salo                1
PONOT2016121338720VIHTELJÄRVI                   VIHTELJÄRVI                                           199610301FI191Satakunta                     Satakunda                     214Kankaanpää          Kankaanpää          1
PONOT2016121341900PETÄJÄVESI                    PETÄJÄVESI                                            198811011FI193Keski-Suomi                   Mellersta Finland             592Petäjävesi          Petäjävesi          1
PONOT2016121342600MULTIA                        MULTIA                                                198811011FI193Keski-Suomi                   Mellersta Finland             495Multia              Multia              1
PONOT2016121346900INKEROINEN                    INKEROINEN                                            200907011FI186Kymenlaakso                   Kymmenedalen                  286Kouvola             Kouvola             1
PONOT2016121351880KOIKKALA                      KOIKKALA                                              198601011FI131Etelä-Savo                    Södra Savolax                 178Juva                Juva                1
PONOT2016121352360SOMEENJÄRVI                   SOMEENJÄRVI                                           198601011FI131Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2016121358300SAVONRANTA                    SAVONRANTA                                            199705141FI131Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2016121366710KAITSOR                       KAITSOR                                               198610011FI195Pohjanmaa                     Österbotten                   946Vöyri               Vörå                2
PONOT2016121370870HILTULANLAHTI                 HILTULANLAHTI                 HILTULANLH              198601011FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016121375501NURMES                        NURMES                                                199511012FI133Pohjois-Karjala               Norra Karelen                 541Nurmes              Nurmes              1
PONOT2016121301530VANTAA                        VANDA                                                 198811011FI181Uusimaa                       Nyland                        092Vantaa              Vanda               2
PONOT2016121301680VANTAA                        VANDA                                                 198811011FI181Uusimaa                       Nyland                        092Vantaa              Vanda               2
PONOT2016121304301TUUSULA                       TUUSULA                                               200512162FI181Uusimaa                       Nyland                        858Tuusula             Tusby               1
PONOT2016121310470FISKARI                       FISKARS                                               198810011FI181Uusimaa                       Nyland                        710Raasepori           Raseborg            2
PONOT2016121329320LEINEPERI                     LEINEPERI                                             199606241FI191Satakunta                     Satakunda                     886Ulvila              Ulvsby              1
PONOT2016121333251TAMPERE                       TAMPERE                                               199508022FI192Pirkanmaa                     Birkaland                     837Tampere             Tammerfors          1
PONOT2016121337470VESILAHTI                     VESILAHTI                                             198811011FI192Pirkanmaa                     Birkaland                     922Vesilahti           Vesilahti           1
PONOT2016121347490MANKALA                       MANKALA                                               198811011FI186Kymenlaakso                   Kymmenedalen                  142Iitti               Iitti               1
PONOT2016121351460LUUSNIEMI                     LUUSNIEMI                                             198601011FI131Etelä-Savo                    Södra Savolax                 213Kangasniemi         Kangasniemi         1
PONOT2016121366999VAASA                         VASA                          VSA         VSA         198601011FI195Pohjanmaa                     Österbotten                   905Vaasa               Vasa                2
PONOT2016121371460PAUKARLAHTI                   PAUKARLAHTI                                           198601011FI132Pohjois-Savo                  Norra Savolax                 420Leppävirta          Leppävirta          1
PONOT2016121371760AHKIONLAHTI                   AHKIONLAHTI                                           198907011FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016121375990HÖLJÄKKÄ                      HÖLJÄKKÄ                                              198809011FI133Pohjois-Karjala               Norra Karelen                 541Nurmes              Nurmes              1
PONOT2016121394900KEMI                          KEMI                          KM                      198601011FI1A3Lappi                         Lappland                      240Kemi                Kemi                1
PONOT2016121397840LEHTINIEMI                    LEHTINIEMI                                            198601011FI1A3Lappi                         Lappland                      614Posio               Posio               1
PONOT2016121370401KUOPIO                        KUOPIO                                                199905062FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016121304601MÄNTSÄLÄ                      MÄNTSÄLÄ                                              199702032FI181Uusimaa                       Nyland                        505Mäntsälä            Mäntsälä            1
PONOT2016121329860OTAMO                         OTAMO                                                 198601011FI191Satakunta                     Satakunda                     747Siikainen           Siikainen           1
PONOT2016121337800AKAA                          AKAA                                                  201212281FI192Pirkanmaa                     Birkaland                     020Akaa                Akaa                1
PONOT2016121341231UURAINEN                      UURAINEN                                              199512202FI193Keski-Suomi                   Mellersta Finland             892Uurainen            Uurainen            1
PONOT2016121357710SAVONLINNA                    SAVONLINNA                    SLN                     199803091FI131Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2016121364701TEUVA                         TEUVA                                                 199701302FI194Etelä-Pohjanmaa               Södra Österbotten             846Teuva               Östermark           1
PONOT2016121365170VAASA                         VASA                          VSA         VSA         199005011FI195Pohjanmaa                     Österbotten                   905Vaasa               Vasa                2
PONOT2016121385150TYPPÖ                         TYPPÖ                                                 198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             208Kalajoki            Kalajoki            1
PONOT2016121389540MOISIOVAARA                   MOISIOVAARA                                           199611291FI134Kainuu                        Kajanaland                    105Hyrynsalmi          Hyrynsalmi          1
PONOT2016121395300TERVOLA                       TERVOLA                                               198811011FI1A3Lappi                         Lappland                      845Tervola             Tervola             1
PONOT2016121332770HUHTAMO                       HUHTAMO                                               198902011FI191Satakunta                     Satakunda                     102Huittinen           Huittinen           1
PONOT2016121341860TIKKALA                       TIKKALA                                               200906221FI193Keski-Suomi                   Mellersta Finland             179Jyväskylä           Jyväskylä           1
PONOT2016121342440KOSKENPÄÄ                     KOSKENPÄÄ                                             199606031FI193Keski-Suomi                   Mellersta Finland             182Jämsä               Jämsä               1
PONOT2016121346810UMMELJOKI                     UMMELJOKI                                             200907011FI186Kymenlaakso                   Kymmenedalen                  286Kouvola             Kouvola             1
PONOT2016121351820HATSOLA                       HATSOLA                                               198601011FI131Etelä-Savo                    Södra Savolax                 178Juva                Juva                1
PONOT2016121352320VITSIÄLÄ                      VITSIÄLÄ                                              198601011FI131Etelä-Savo                    Södra Savolax                 491Mikkeli             St Michel           1
PONOT2016121358201KERIMÄKI                      KERIMÄKI                                              199602292FI131Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2016121370800KUOPIO                        KUOPIO                        KUO                     198811011FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016121397370UNARIN-LUUSUA                 UNARIN-LUUSUA                                         198811011FI1A3Lappi                         Lappland                      698Rovaniemi           Rovaniemi           1
PONOT2016121399800IVALO                         IVALO                                                 198601011FI1A3Lappi                         Lappland                      148Inari               Enare               1
PONOT2016121301510VANTAA                        VANDA                                                 198811011FI181Uusimaa                       Nyland                        092Vantaa              Vanda               2
PONOT2016121301661VANTAA                        VANDA                                                 198811012FI181Uusimaa                       Nyland                        092Vantaa              Vanda               2
PONOT2016121304260KERAVA                        KERAVA                                                198811011FI181Uusimaa                       Nyland                        245Kerava              Kervo               1
PONOT2016121324280SALO                          SALO                                                  198910011FI183Varsinais-Suomi               Egentliga Finland             734Salo                Salo                1
PONOT2016121329270HORMISTO                      HORMISTO                                              198601011FI191Satakunta                     Satakunda                     531Nakkila             Nakkila             1
PONOT2016121333231TAMPERE                       TAMPERE                                               199611212FI192Pirkanmaa                     Birkaland                     837Tampere             Tammerfors          1
PONOT2016121343100SAARIJÄRVI                    SAARIJÄRVI                                            198811011FI193Keski-Suomi                   Mellersta Finland             729Saarijärvi          Saarijärvi          1
PONOT2016121347440SÄÄSKJÄRVI                    SÄÄSKJÄRVI                                            200309101FI186Kymenlaakso                   Kymmenedalen                  142Iitti               Iitti               1
PONOT2016121366950MUNSALA                       MUNSALA                                               199606101FI195Pohjanmaa                     Österbotten                   893Uusikaarlepyy       Nykarleby           2
PONOT2016121371330RÄSÄLÄ                        RÄSÄLÄ                                                199601011FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016121394800KEMI                          KEMI                          KM                      199601051FI1A3Lappi                         Lappland                      240Kemi                Kemi                1
PONOT2016121397650JUOTAS                        JUOTAS                                                198601011FI1A3Lappi                         Lappland                      698Rovaniemi           Rovaniemi           1
PONOT2016121397810SUORSA                        SUORSA                                                198601011FI1A3Lappi                         Lappland                      614Posio               Posio               1
PONOT2016121399990NUORGAM                       NUORGAM                                               198601011FI1A3Lappi                         Lappland                      890Utsjoki             Utsjoki             1
